PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Baron Browning,2566025,LB,ARI,@HOU,1,2,,1,,,,,,,,,,,,,,91,4.20
Bradley Chubb,2561020,LB,MIA,@PIT,2,2,,,,,,,,,,,,,,,,92,4.20
Damone Clark,2567493,LB,HOU,ARI,2,2,,,,,,,,,,,,,,,,93,4.20
Divine Deablo,2566253,LB,ATL,@TB,1,2,0.5,,,,,,,,,,,,1,,,94,4.20
Christian Harris,2567679,LB,HOU,ARI,2,2,,,,,,,,,,,,,,,,95,4.20
Owen Pappoe,2570227,LB,ARI,@HOU,2,2,,,,,,,,,,,,,,,,96,4.20
Jalyx Hunt,2572378,LB,PHI,LV,1,,,1,,,,,,,,,,,2,,,97,4.00
Cody Barton,2562472,LB,TEN,@SF,1,4,,,,,,,,,,,,,,,,98,3.90
Brian Burns,2562242,LB,NYG,WAS,,1,,,,,1,,,,,,,,3,,23,99,3.87
Byron Young,2570014,LB,LAR,DET,1,2,,,,,,,,,,,,,2,,,100,3.70
Barrett Carter,2574025,LB,CIN,BAL,2,1,,,,,,,,,,,,,,,,101,3.60
Jake Hansen,2568870,LB,HOU,ARI,2,1,,,,,,,,,,,,,,,,102,3.60
Jack Kiser,2574220,LB,JAX,NYJ,2,1,,,,,,,,,,,,,,,,103,3.60
Jerome Baker,2560966,LB,CLE,@CHI,1,3,,,,,,,,,,,,,,,,104,3.30
Derrick Barnes,2566055,LB,DET,@LAR,1,3,,,,,,,,,,,,,,,,105,3.30
Leo Chenal,2567784,LB,KC,LAC,,3,0.5,,,,,,,,,,,,1,,,106,3.30
Jadeveon Clowney,2543456,LB,DAL,MIN,1,3,,,,,,,,,,,,,,,,107,3.30
Derick Hall,2570329,LB,SEA,IND,1,2,,,,,,,,,,,,,1,,,108,3.20
Josh Hines-Allen,2562619,LB,JAX,NYJ,1,1,,,,,,,,,,,,,2,,,109,3.10
Shemar James,2574077,LB,DAL,MIN,2,,,,,,,,,,,,,,,,,110,3.00
Boye Mafe,2568258,LB,SEA,IND,,5,,,,,,,,,,,,,,,,111,3.00
David Ojabo,2567301,LB,BAL,@CIN,2,,,,,,,,,,,,,,,,,112,3.00
Jalen Reeves-Maybin,2557924,LB,CHI,CLE,2,,,,,,,,,,,,,,,,,113,3.00
Danny Stutsman,2574408,LB,NO,CAR,2,,,,,,,,,,,,,,,,,114,3.00
Channing Tindall,2567898,LB,ARI,@HOU,2,,,,,,,,,,,,,,,,,115,3.00
Uchenna Nwosu,2560826,LB,SEA,IND,1,2,,,,,,,,,,,,,,,,116,2.70
Omar Speights,2573743,LB,LAR,DET,1,2,,,,,,,,,,,,,,,,117,2.70
Jahlani Tavai,2562755,LB,NE,BUF,1,2,,,,,,,,,,,,,,,,118,2.70
Mykal Walker,2563530,LB,NYJ,@JAX,1,2,,,,,,,,,,,,,,,,119,2.70
Jihad Ward,2555248,LB,TEN,@SF,1,2,,,,,,,,,,,,,,,,120,2.70
Isaiah McDuffie,2566082,LB,GB,@DEN,1,1,,,,,,,,,,,,,1,,,121,2.60
Jordan Burch,2574476,LB,ARI,@HOU,,4,,,,,,,,,,,,,,,,122,2.40
Charles Snowden,2566764,LB,LV,@PHI,,4,,,,,,,,,,,,,,,,123,2.40
Joe Tryon-Shoyinka,2566574,LB,CHI,CLE,,3,,,,,,,,,,,,,1,,,124,2.30
Devin Bush,2562243,LB,CLE,@CHI,1,1,,,,,,,,,,,,,,,,125,2.10
Cameron Goode,2567892,LB,MIA,@PIT,1,1,,,,,,,,,,,,,,,,126,2.10
Ty'Ron Hopper,2572036,LB,GB,@DEN,1,1,,,,,,,,,,,,,,,,127,2.10
Marist Liufau,2571979,LB,DAL,MIN,1,1,,,,,,,,,,,,,,,,128,2.10
Josaiah Stewart,2574278,LB,LAR,DET,1,1,,,,,,,,,,,,,,,,129,2.10
Grant Stuard,2566568,LB,DET,@LAR,1,1,,,,,,,,,,,,,,,,130,2.10
Jeremiah Trotter Jr.,2572396,LB,PHI,LV,1,1,,,,,,,,,,,,,,,,131,2.10
Garret Wallow,2566139,LB,SF,TEN,1,1,,,,,,,,,,,,,,,,132,2.10
Samson Ebukam,2558830,LB,IND,@SEA,1,,,,,,,,,,,,,,1,,,133,2.00
Nick Herbig,2570248,LB,PIT,MIA,1,,,,,,,,,,,,,,1,,,134,2.00
Anfernee Jennings,2564613,LB,NE,BUF,1,,,,,,,,,,,,,,1,,,135,2.00
Trevin Wallace,2571898,LB,CAR,@NO,,3,,,,,,,,,,,,,,,,136,1.80
Joe Andreessen,2573632,LB,BUF,@NE,1,,,,,,,,,,,,,,,,,137,1.50
Tyler Batty,2574338,LB,MIN,@DAL,1,,,,,,,,,,,,,,,,,138,1.50
Nick Bellore,2495262,LB,WAS,@NYG,1,,,,,,,,,,,,,,,,,139,1.50
Claudin Cherelus,2570617,LB,CAR,@NO,1,,,,,,,,,,,,,,,,,140,1.50
Jack Cochrane,2568408,LB,KC,LAC,1,,,,,,,,,,,,,,,,,141,1.50
Troy Dye,2564535,LB,LAC,@KC,1,,,,,,,,,,,,,,,,,142,1.50
Jaylan Ford,2572315,LB,NO,CAR,1,,,,,,,,,,,,,,,,,143,1.50
Joe Giles-Harris,2562591,LB,CIN,BAL,1,,,,,,,,,,,,,,,,,144,1.50
Neville Hewitt,2553657,LB,NYG,WAS,1,,,,,,,,,,,,,,,,,145,1.50
Cole Holcomb,2562872,LB,PIT,MIA,1,,,,,,,,,,,,,,,,,146,1.50
Marte Mapu,2570104,LB,NE,BUF,1,,,,,,,,,,,,,,,,,147,1.50
Easton Mascarenas-Arnold,2574056,LB,CLE,@CHI,1,,,,,,,,,,,,,,,,,148,1.50
Patrick O'Connell,2571366,LB,SEA,IND,1,,,,,,,,,,,,,,,,,149,1.50
Ivan Pace Jr.,2571210,LB,MIN,@DAL,1,,,,,,,,,,,,,,,,,150,1.50
Troy Reeder,2563313,LB,LAR,DET,1,,,,,,,,,,,,,,,,,151,1.50
Malcolm Rodriguez,2567562,LB,DET,@LAR,1,,,,,,,,,,,,,,,,,152,1.50
Princely Umanmielen,2574003,LB,CAR,@NO,1,,,,,,,,,,,,,,,,,153,1.50
Markees Watts,2571599,LB,TB,ATL,1,,,,,,,,,,,,,,,,,154,1.50
Dorian Williams,2569582,LB,BUF,@NE,1,,,,,,,,,,,,,,,,,155,1.50
Joe Bachie,2564661,LB,TEN,@SF,,2,,,,,,,,,,,,,,,,156,1.20
Teddye Buchanan,2573925,LB,BAL,@CIN,,2,,,,,,,,,,,,,,,,157,1.20
Jacob Hummel,2569390,LB,BAL,@CIN,,2,,,,,,,,,,,,,,,,158,1.20
Smael Mondon Jr.,2574467,LB,PHI,LV,,2,,,,,,,,,,,,,,,,159,1.20
Trevor Nowaske,2570978,LB,DET,@LAR,,2,,,,,,,,,,,,,,,,160,1.20
Jared Verse,2572213,LB,LAR,DET,,1,,,,,,,,,,,,,1,,,161,1.10
Austin Ajiake,2571766,LB,IND,@SEA,,1,,,,,,,,,,,,,,,,162,0.60
Carson Bruener,2574490,LB,PIT,MIA,,1,,,,,,,,,,,,,,,,163,0.60
Oren Burks,2560984,LB,CIN,BAL,,1,,,,,,,,,,,,,,,,164,0.60
Jihaad Campbell,2574455,LB,PHI,LV,,1,,,,,,,,,,,,,,,,165,0.60
Branson Combs,2574211,LB,JAX,NYJ,,1,,,,,,,,,,,,,,,,166,0.60
Arnold Ebiketie,2567238,LB,ATL,@TB,,1,,,,,,,,,,,,,,,,167,0.60
Tomon Fox,2569137,LB,NYG,WAS,,1,,,,,,,,,,,,,,,,168,0.60
Willie Gay Jr.,2564280,LB,MIA,@PIT,,1,,,,,,,,,,,,,,,,169,0.60
Luke Gifford,2562942,LB,SF,TEN,,1,,,,,,,,,,,,,,,,170,0.60
Nick Jackson,2574588,LB,TB,ATL,,1,,,,,,,,,,,,,,,,171,0.60
Matthew Judon,2555505,LB,BUF,@NE,,1,,,,,,,,,,,,,,,,172,0.60
Ale Kaho,2574611,LB,WAS,@NYG,,1,,,,,,,,,,,,,,,,173,0.60
Austin Keys,2574351,LB,ARI,@HOU,,1,,,,,,,,,,,,,,,,174,0.60
Cody Lindenberg,2574301,LB,LV,@PHI,,1,,,,,,,,,,,,,,,,175,0.60
"Kenneth Murray, Jr.",2565063,LB,DAL,MIN,,1,,,,,,,,,,,,,,,,176,0.60
Anthony Nelson,2562507,LB,TB,ATL,,1,,,,,,,,,,,,,,,,177,0.60
Del'Shawn Phillips,2563179,LB,LAC,@KC,,1,,,,,,,,,,,,,,,,178,0.60
Jon Rhattigan,2567127,LB,LV,@PHI,,1,,,,,,,,,,,,,,,,179,0.60
Noah Sewell,2569633,LB,CHI,CLE,,1,,,,,,,,,,,,,,,,180,0.60
Isaiah Stalbird,2573400,LB,NO,CAR,,1,,,,,,,,,,,,,,,,181,0.60
Josh Sweat,2560889,LB,ARI,@HOU,,1,,,,,,,,,,,,,,,,182,0.60
Cameron Thomas,2568129,LB,CLE,@CHI,,1,,,,,,,,,,,,,,,,183,0.60
Logan Wilson,2563752,LB,DAL,MIN,,1,,,,,,,,,,,,,,,,184,0.60
Yasir Abdullah,2569891,LB,JAX,NYJ,,,,,,,,,,,,,,,,,,185,0.00
Mitchell Agude,2571111,LB,FA,Bye,,,,,,,,,,,,,,,,,,186,0.00
Troy Andersen,2567235,LB,ATL,@TB,,,,,,,,,,,,,,,,,,187,0.00
Liam Anderson,2570521,LB,CIN,BAL,,,,,,,,,,,,,,,,,,188,0.00
Kam Arnold,2574604,LB,KC,LAC,,,,,,,,,,,,,,,,,,189,0.00
Brian Asamoah II,2567901,LB,CIN,BAL,,,,,,,,,,,,,,,,,,190,0.00
Eugene Asante,2574317,LB,ATL,@TB,,,,,,,,,,,,,,,,,,191,0.00
Levelle Bailey,2573079,LB,DEN,GB,,,,,,,,,,,,,,,,,,192,0.00
Krys Barnes,2563971,LB,CAR,@NO,,,,,,,,,,,,,,,,,,193,0.00
Zaire Barnes,2570185,LB,NYG,WAS,,,,,,,,,,,,,,,,,,194,0.00
Amare Barno,2567346,LB,FA,Bye,,,,,,,,,,,,,,,,,,195,0.00
Michael Barrett,2571880,LB,FA,Bye,,,,,,,,,,,,,,,,,,196,0.00
Justin Barron,2574067,LB,DAL,MIN,,,,,,,,,,,,,,,,,,197,0.00
