PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Ennis Rakestraw Jr.,2572018,DB,DET,@LAR,,,,,,,,,,,,,,,,,,522,0.00
Caleb Ransaw,2574229,DB,JAX,NYJ,,,,,,,,,,,,,,,,,,523,0.00
Taylor Rapp,2562707,DB,BUF,@NE,,,,,,,,,,,,,,,,,,524,0.00
Jaylen Reed,2574178,DB,HOU,ARI,,,,,,,,,,,,,,,,,,525,0.00
Jerrick Reed II,2570332,DB,TEN,@SF,,,,,,,,,,,,,,,,,,526,0.00
Nikko Reed,2574527,DB,LAC,@KC,,,,,,,,,,,,,,,,,,527,0.00
Justin Reid,2560851,DB,NO,CAR,,,,,,,,,,,,,,,,,,528,0.00
Michael Reid,2573998,DB,FA,Bye,,,,,,,,,,,,,,,,,,529,0.00
Demani Richardson,2572947,DB,CAR,@NO,,,,,,,,,,,,,,,,,,530,0.00
Eli Ricks,2570641,DB,FA,Bye,,,,,,,,,,,,,,,,,,531,0.00
JJ Roberts,2574597,DB,TB,ATL,,,,,,,,,,,,,,,,,,532,0.00
Ethan Robinson,2574331,DB,MIA,@PIT,,,,,,,,,,,,,,,,,,533,0.00
Jaden Robinson,2574098,DB,DEN,GB,,,,,,,,,,,,,,,,,,534,0.00
Jakob Robinson,2574545,DB,SF,TEN,,,,,,,,,,,,,,,,,,535,0.00
Jammie Robinson,2569609,DB,ATL,@TB,,,,,,,,,,,,,,,,,,536,0.00
Lance Robinson,2573016,DB,FA,Bye,,,,,,,,,,,,,,,,,,537,0.00
Marquise Robinson,2573949,DB,BAL,@CIN,,,,,,,,,,,,,,,,,,538,0.00
Micah Robinson,2574136,DB,TEN,@SF,,,,,,,,,,,,,,,,,,539,0.00
Eric Rogers,2574528,DB,LAC,@KC,,,,,,,,,,,,,,,,,,540,0.00
Christian Roland-Wallace,2572844,DB,KC,LAC,,,,,,,,,,,,,,,,,,541,0.00
D'Angelo Ross,2563057,DB,CLE,@CHI,,,,,,,,,,,,,,,,,,542,0.00
Davion Ross,2574161,DB,FA,Bye,,,,,,,,,,,,,,,,,,543,0.00
Darius Rush,2569867,DB,WAS,@NYG,,,,,,,,,,,,,,,,,,544,0.00
Tyson Russell,2574636,DB,FA,Bye,,,,,,,,,,,,,,,,,,545,0.00
Andre' Sam,2572744,DB,PHI,LV,,,,,,,,,,,,,,,,,,546,0.00
Shilo Sanders,2574598,DB,FA,Bye,,,,,,,,,,,,,,,,,,547,0.00
Benny Sapp III,2570503,DB,FA,Bye,,,,,,,,,,,,,,,,,,548,0.00
John Saunders Jr.,2574332,DB,NE,BUF,,,,,,,,,,,,,,,,,,549,0.00
Darnell Savage,2562724,DB,BUF,@NE,,,,,,,,,,,,,,,,,,550,0.00
Daniel Scott,2569852,DB,IND,@SEA,,,,,,,,,,,,,,,,,,551,0.00
Eric Scott Jr.,2569693,DB,KC,LAC,,,,,,,,,,,,,,,,,,552,0.00
Kevon Seymour,2555549,DB,WAS,@NYG,,,,,,,,,,,,,,,,,,553,0.00
Kendall Sheffield,2562730,DB,MIA,@PIT,,,,,,,,,,,,,,,,,,554,0.00
Duke Shelley,2562957,DB,FA,Bye,,,,,,,,,,,,,,,,,,555,0.00
Nehemiah Shelton,2571786,DB,FA,Bye,,,,,,,,,,,,,,,,,,556,0.00
Marques Sigle,2574547,DB,SF,TEN,,,,,,,,,,,,,,,,,,557,0.00
Cam'Ron Silmon-Craig,2574231,DB,JAX,NYJ,,,,,,,,,,,,,,,,,,558,0.00
Justin Simmons,2555550,DB,FA,Bye,,,,,,,,,,,,,,,,,,559,0.00
Jaylin Simpson,2572132,DB,GB,@DEN,,,,,,,,,,,,,,,,,,560,0.00
JL Skinner,2569714,DB,DEN,GB,,,,,,,,,,,,,,,,,,561,0.00
Doneiko Slaughter,2574233,DB,FA,Bye,,,,,,,,,,,,,,,,,,562,0.00
Darius Slay,2540288,DB,FA,Bye,,,,,,,,,,,,,,,,,,563,0.00
Cam Smith,2570071,DB,FA,Bye,,,,,,,,,,,,,,,,,,564,0.00
Chris Smith II,2570056,DB,NYJ,@JAX,,,,,,,,,,,,,,,,,,565,0.00
Jaylin Smith,2574179,DB,HOU,ARI,,,,,,,,,,,,,,,,,,566,0.00
Keidron Smith,2571120,DB,NYJ,@JAX,,,,,,,,,,,,,,,,,,567,0.00
Melvin Smith Jr.,2574257,DB,KC,LAC,,,,,,,,,,,,,,,,,,568,0.00
Mike Smith Jr.,2574082,DB,FA,Bye,,,,,,,,,,,,,,,,,,569,0.00
Terell Smith,2569636,DB,CHI,CLE,,,,,,,,,,,,,,,,,,570,0.00
Tykee Smith,2572555,DB,TB,ATL,,,,,,,,,,,,,,,,,,571,0.00
L'Jarius Sneed,2564304,DB,TEN,@SF,,,,,,,,,,,,,,,,,,572,0.00
Ameer Speed,2570113,DB,HOU,ARI,,,,,,,,,,,,,,,,,,573,0.00
M.J. Stewart,2560884,DB,HOU,ARI,,,,,,,,,,,,,,,,,,574,0.00
Loren Strickland,2573145,DB,DET,@LAR,,,,,,,,,,,,,,,,,,575,0.00
Dorian Strong,2573974,DB,BUF,@NE,,,,,,,,,,,,,,,,,,576,0.00
Jonathan Sutherland,2571390,DB,FA,Bye,,,,,,,,,,,,,,,,,,577,0.00
Tre Swilling,2568849,DB,FA,Bye,,,,,,,,,,,,,,,,,,578,0.00
Keith Taylor,2565911,DB,JAX,NYJ,,,,,,,,,,,,,,,,,,579,0.00
Reese Taylor,2570722,DB,DEN,GB,,,,,,,,,,,,,,,,,,580,0.00
Trey Taylor,2572240,DB,FA,Bye,,,,,,,,,,,,,,,,,,581,0.00
Cam Taylor-Britt,2567454,DB,CIN,BAL,,,,,,,,,,,,,,,,,,582,0.00
Dadrion Taylor-Demerson,2572432,DB,ARI,@HOU,,,,,,,,,,,,,,,,,,583,0.00
Ladarius Tennison,2574198,DB,FA,Bye,,,,,,,,,,,,,,,,,,584,0.00
Ambry Thomas,2566547,DB,FA,Bye,,,,,,,,,,,,,,,,,,585,0.00
Azareye'h Thomas,2574452,DB,NYJ,@JAX,,,,,,,,,,,,,,,,,,586,0.00
Juanyeh Thomas,2568720,DB,DAL,MIN,,,,,,,,,,,,,,,,,,587,0.00
Starling Thomas V,2570963,DB,ARI,@HOU,,,,,,,,,,,,,,,,,,588,0.00
Trevian Thomas,2574001,DB,JAX,NYJ,,,,,,,,,,,,,,,,,,589,0.00
Stantley Thomas-Oliver,2563689,DB,FA,Bye,,,,,,,,,,,,,,,,,,590,0.00
Jalen Thompson,2563339,DB,ARI,@HOU,,,,,,,,,,,,,,,,,,591,0.00
Josh Thompson,2567775,DB,FA,Bye,,,,,,,,,,,,,,,,,,592,0.00
Juan Thornhill,2562761,DB,JAX,NYJ,,,,,,,,,,,,,,,,,,593,0.00
Corey Thornton,2574002,DB,CAR,@NO,,,,,,,,,,,,,,,,,,594,0.00
Tre Tomlinson,2569978,DB,SF,TEN,,,,,,,,,,,,,,,,,,595,0.00
Cory Trice Jr.,2570254,DB,PIT,MIA,,,,,,,,,,,,,,,,,,596,0.00
Delarrin Turner-Yell,2567532,DB,DEN,GB,,,,,,,,,,,,,,,,,,597,0.00
Nate Valcarcel,2574281,DB,FA,Bye,,,,,,,,,,,,,,,,,,598,0.00
Greedy Vance,2574313,DB,LV,@PHI,,,,,,,,,,,,,,,,,,599,0.00
