PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Darius Cooper,2574456,WR,PHI,WAS,,,,0.43,,3.96,45.18,0.34,,,,,8.58,27,81,0.00,-8.58
Malachi Corley,2572357,WR,CLE,@CIN,,,,9.35,0.04,2.04,24.85,0.17,,,,0.03,5.64,65,82,0.00,-5.64
Chase Cota,2570948,WR,FA,Bye,,,,,,,,,,,,,,197,83,0.00,
Britain Covey,2568066,WR,PHI,WAS,,,,0.29,,2.6,28.24,0.2,,,,,5.35,68,84,0.00,-5.35
Jacob Cowing,2572492,WR,SF,SEA,,,,,,,,,,,,,0.00,198,85,0.00,0.0
River Cracraft,2559485,WR,WAS,@PHI,,,,,,,,,,,,,0.00,199,86,0.00,0.0
Jalen Cropper,2570870,WR,DAL,@NYG,,,,,,,,,,,,,0.00,200,87,0.00,0.0
Malik Cunningham,2571222,WR,DET,@CHI,,,,,,,,,,,,,0.00,201,88,0.00,0.0
Mac Dalena,2574244,WR,FA,Bye,,,,,,,,,,,,,,202,89,0.00,
Roderick Daniels Jr.,2574660,WR,FA,Bye,,,,,,,,,,,,,,203,90,0.00,
Derius Davis,2570272,WR,LAC,@DEN,,,,2.01,0.02,1.51,15.18,0.12,0.05,0.02,,0.91,1.91,114,91,0.00,-1.91
Gabe Davis,2563602,WR,BUF,NYJ,,,,,,1.23,20.7,0.18,,,,0.02,3.73,95,92,0.00,-3.73
Joaquin Davis,2574089,WR,MIN,GB,,,,,,,,,,,,,0.00,204,93,0.00,0.0
Kaden Davis,2568732,WR,CLE,@CIN,,,,,,,,,,,,,0.00,205,94,0.00,0.0
Tank Dell,2569813,WR,HOU,IND,,,,,,,,,,,,,0.00,206,95,0.00,0.0
Stefon Diggs,2552608,WR,NE,MIA,,,,0.25,,4.54,55.23,0.36,,,,0.06,9.86,20,96,0.00,-9.86
Chimere Dike,2574147,WR,TEN,@JAX,,,,2.34,0.03,3.84,39.83,0.32,,,,0.05,8.14,34,97,0.00,-8.14
Moochie Dixon,2574399,WR,FA,Bye,,,,,,,,,,,,,,207,98,0.00,
Phillip Dorsett,2552424,WR,LV,KC,,,,,,,,,,,,,0.00,208,99,0.00,0.0
Greg Dortch,2562645,WR,ARI,@LAR,,,,,,,,,,,,,0.00,209,100,0.00,0.0
Jahan Dotson,2568321,WR,PHI,WAS,,,,0.44,,3.09,46.04,0.38,,,,0.04,8.39,29,101,0.00,-8.39
Romeo Doubs,2567586,WR,GB,@MIN,,,,0.12,,1.34,16.57,0.13,,,,0.02,3.08,103,102,0.00,-3.08
DeMario Douglas,2570119,WR,NE,MIA,,,,1.24,0.01,1.89,23.47,0.17,,,,0.03,4.44,84,103,0.00,-4.44
