PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Beau Brade,2572591,DB,NYG,1,1,,,,,,,,,,,,,,,,390,2.10
Tanner Ingle,2570011,DB,LAR,1,1,,,,,,,,,,,,,,,,391,2.10
Nazeeh Johnson,2567793,DB,KC,1,1,,,,,,,,,,,,,,,,392,2.10
Jarius Monroe,2572708,DB,NYJ,1,1,,,,,,,,,,,,,,,,393,2.10
Ameer Speed,2570113,DB,HOU,1,1,,,,,,,,,,,,,,,,394,2.10
Loren Strickland,2573145,DB,DET,1,1,,,,,,,,,,,,,,,,395,2.10
Corey Ballentine,2562228,DB,DAL,,3,,,,,,,,,,,,,,,,396,1.80
Dane Jackson,2563614,DB,BUF,,3,,,,,,,,,,,,,,,,397,1.80
Eli Apple,2555277,DB,SF,1,,,,,,,,,,,,,,,,,398,1.50
Dallis Flowers,2568906,DB,CHI,1,,,,,,,,,,,,,,,,,399,1.50
Richie Grant,2565818,DB,NE,1,,,,,,,,,,,,,,,,,400,1.50
A.J. Green,2563782,DB,MIA,1,,,,,,,,,,,,,,,,,401,1.50
Damar Hamlin,2565872,DB,BUF,1,,,,,,,,,,,,,,,,,402,1.50
DJ James,2572519,DB,FA,1,,,,,,,,,,,,,,,,,403,1.50
Kobee Minor,2574378,DB,NE,1,,,,,,,,,,,,,,,,,404,1.50
Clark Phillips III,2569546,DB,ATL,1,,,,,,,,,,,,,,,,,405,1.50
Andre' Sam,2572744,DB,PHI,1,,,,,,,,,,,,,,,,,406,1.50
Kendall Sheffield,2562730,DB,MIA,1,,,,,,,,,,,,,,,,,407,1.50
Zion Childress,2574070,DB,DAL,,2,,,,,,,,,,,,,,,,408,1.20
Chigozie Anusiem,2573596,DB,LV,,1,,,,,,,,,,,,,,,,409,0.60
Amani Oruwariye,2562390,DB,BAL,,1,,,,,,,,,,,,,,,,410,0.60
Trevian Thomas,2574001,DB,JAX,,1,,,,,,,,,,,,,,,,411,0.60
Delarrin Turner-Yell,2567532,DB,DEN,,1,,,,,,,,,,,,,,,,412,0.60
