PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Austin Ajiake,2571766,LB,IND,13,19,0.5,,,,,,,,,,,,2,,,164,32.90
Shaun Dolac,2574264,LB,LAR,16,9,,2,,,,,,,,,,,,,,165,32.40
K.J. Britt,2566559,LB,MIA,12,23,,,,,,,,,,,,,1,,,166,32.30
Owen Pappoe,2570227,LB,ARI,12,15,,,,,,,,,,,,2,,,,167,32.00
Deion Jones,2555162,LB,TB,16,13,,,,,,,,,,,,,,,,168,31.80
DeMarvion Overshown,2569705,LB,DAL,15,13,,1,,,,,,,,,,,,,,169,31.80
Joe Bachie,2564661,LB,TEN,12,17,,,,,,,,,,,,1,,,,170,30.70
Mykal Walker,2563530,LB,NYJ,9,22,,1,,,,,,,,,,1,,,,171,30.70
Jordan Burch,2574476,LB,ARI,5,18,1,1,,,,,,,,,,3,1,,,172,29.80
Damone Clark,2567493,LB,HOU,14,14,,,,,,,,,,,,,,,,173,29.40
Bud Dupree,2552289,LB,LAC,9,7,2,2,,,,,,,,,,1,3,,,174,28.70
Ty'Ron Hopper,2572036,LB,GB,10,14,,1,,1,,,,,,,,,,,,175,28.40
Trevor Nowaske,2570978,LB,DET,9,13,1,2,,,1,,,,,,,,2,,,176,28.30
Cooper McDonald,2574250,LB,KC,10,15,,1,,,,,,,,,,,,,,177,25.50
Jack Cochrane,2568408,LB,KC,7,13,,,1,,1,,,,,,,1,,,,178,25.30
Matthew Judon,2555505,LB,BUF,9,10,,1,,,,,,,,,,1,3,,,179,25.00
Joe Tryon-Shoyinka,2566574,LB,CHI,10,12,,1,,,,,,,,,,,2,,,180,24.70
Marlowe Wax,2574534,LB,LAC,11,10,,1,,,,,,,,,,,,,,181,24.00
Bam Martin-Scott,2573991,LB,CAR,7,14,,1,,1,,,,,,,,,,,,182,23.90
Jacob Hummel,2569390,LB,BAL,9,9,,1,,,,,,,,,1,,,,,183,23.40
Cameron Goode,2567892,LB,MIA,8,14,,,,,,,,,,,,1,,,,184,22.90
Patrick O'Connell,2571366,LB,SEA,8,11,1,1,,,,,,,,,,,1,,,185,22.60
Krys Barnes,2563971,LB,CAR,6,17,0.5,1,,,,,,,,,,,1,,,186,22.20
Que Robinson,2574099,LB,DEN,6,6,0.5,3,,,,,,,,,,1,3,,,187,22.10
Jake Hansen,2568870,LB,HOU,11,8,,,,,,,,,,,,,,,,188,21.30
Segun Olubi,2569263,LB,IND,9,2,,,,1,,,,,,,1,,,,,189,21.20
Patrick Jones II,2566307,LB,CAR,6,3,1,2,,,,,,,,,,1,2,,,190,19.30
Trevis Gipson,2563695,LB,CAR,6,8,1,1,,,1,,,,,,,,1,,,191,18.80
Tyler Batty,2574338,LB,MIN,9,3,,2,,,,,,,,,,,,,,192,18.30
Thomas Incoom,2570921,LB,CAR,9,8,,,,,,,,,,,,,,,,193,18.30
Grant Stuard,2566568,LB,DET,6,13,,1,,,,,,,,,,,,,,194,18.30
Jeffrey Bassa,2574239,LB,KC,6,9,,,,1,,,,,,,,,,,,195,17.90
David Ojabo,2567301,LB,BAL,7,9,0.5,,,,,,,,,,,,2,,,196,17.90
Carson Bruener,2574490,LB,PIT,7,12,,,,,,,,,,,,,,,,197,17.70
Nick Martin,2574542,LB,SF,8,3,,,,1,,,,,,,,,,,,198,17.30
Amen Ogbongbemiga,2566499,LB,CHI,5,12,,,,,,,,,,,,1,,,,199,17.20
Buddy Johnson,2566454,LB,IND,8,6,,1,,,,,,,,,,,,,,200,17.10
Malcolm Rodriguez,2567562,LB,DET,9,3,,1,,,,,,,,,,,,,,201,16.80
Oluwafemi Oladejo,2574157,LB,TEN,5,8,,2,,,,,,,,,,,2,,,202,16.30
Za'Darius Smith,2552279,LB,FA,3,7,1.5,2,,,,,,,,,,,3,,,203,16.20
Nick Bellore,2495262,LB,WAS,6,6,,,,1,,,,,,,,,,,,204,16.10
BJ Ojulari,2570233,LB,ARI,6,3,1,1,,,,,,,,,,,3,,,205,15.80
Josh Woods,2561626,LB,ATL,8,6,,,,,,,,,,,,,,,,206,15.60
Michael Hoecht,2564346,LB,BUF,2,3,2,1,,1,,,,,,,,,2,,,207,14.80
Bo Richter,2573322,LB,MIN,6,5,,,,,,,,,,,,1,,,,208,14.50
Caleb Murphy,2571476,LB,NYG,5,9,0.5,,,,,,,,,,,,1,,,209,14.40
Chaz Chambliss,2574342,LB,MIN,6,2,1,1,,,,,,,,,,,1,,,210,14.20
Patrick Johnson,2566403,LB,PHI,5,3,1,1,,,,,,,,,,,2,,,211,13.80
Shaka Heyward,2570831,LB,CIN,4,12,,,,,,,,,,,,,1,,,212,13.70
Christian Harris,2567679,LB,HOU,5,6,,,,,,,,,,,,1,,,,213,13.60
Jack Kiser,2574220,LB,JAX,5,9,,,,,,,,,,,,,,,,214,12.90
DeAngelo Malone,2567253,LB,ATL,2,6,,,1,,,,,,,,,1,,6,,215,12.80
Jay Higgins,2573930,LB,BAL,3,7,,,,1,,,,,,,,,,,,216,12.20
Nick Niemann,2566496,LB,GB,6,5,,,,,,,,,,,,,,,,217,12.00
Austin Keys,2574351,LB,ARI,4,3,1,1,,,,,,,,,,,1,,,218,11.80
Neville Hewitt,2553657,LB,NYG,5,7,,,,,,,,,,,,,,,,219,11.70
Branson Combs,2574211,LB,JAX,3,6,,,,1,,,,,,,,,,,,220,11.60
Jamal Hill,2572096,LB,HOU,5,1,,,,1,,,,,,,,,,,,221,11.60
Maema Njongmeta,2573013,LB,CAR,3,6,,,,1,,,,,,,,,,,,222,11.60
Khalid Kareem,2563734,LB,ATL,3,4,,1,,,,,,,,,,1,1,,,223,11.40
Jamon Johnson,2574133,LB,GB,3,7,,,,,,,,,,,,1,,,,224,11.20
Jaylan Ford,2572315,LB,NO,5,6,,,,,,,,,,,,,,,,225,11.10
Dorian Mausi,2574354,LB,TEN,5,4,,,,,1,,,,,,,,,,,226,10.90
Yasir Abdullah,2569891,LB,JAX,6,3,,,,,,,,,,,,,,,,227,10.80
Sam Kamara,2566746,LB,CLE,3,3,,3,,,,,,,,,,,,,,228,10.80
Kobe King,2574352,LB,NYJ,5,5,,,,,,,,,,,,,,,,229,10.50
Zach Cunningham,2558094,LB,DET,5,2,,1,,,,,,,,,,,,,,230,10.20
Smael Mondon Jr.,2574467,LB,PHI,4,7,,,,,,,,,,,,,,,,231,10.20
Chazz Surratt,2566322,LB,SEA,4,7,,,,,,,,,,,,,,,,232,10.20
Keonta Jenkins,2573964,LB,BUF,5,4,,,,,,,,,,,,,,,,233,9.90
Carl Jones,2572959,LB,BAL,3,9,,,,,,,,,,,,,,,,234,9.90
Nick Hampton,2570008,LB,LAR,4,6,,,,,,,,,,,,,,,,235,9.60
Easton Mascarenas-Arnold,2574056,LB,CLE,4,5,,,,,,,,,,,,,,,,236,9.00
Chad Muma,2567760,LB,NE,4,5,,,,,,,,,,,,,,,,237,9.00
John Bullock,2574582,LB,FA,3,7,,,,,,,,,,,,,,,,238,8.70
Markees Watts,2571599,LB,TB,2,7,0.5,,,,,,,,,,,,1,,,239,8.70
Channing Tindall,2567898,LB,ARI,4,4,,,,,,,,,,,,,,,,240,8.40
Cody Lindenberg,2574301,LB,LV,4,3,,,,,,,,,,,,,,,,241,7.80
Azeez Ojulari,2566367,LB,PHI,2,4,,1,,,,,,,,,,,1,,,242,7.40
Tomon Fox,2569137,LB,NYG,4,2,,,,,,,,,,,,,,,,243,7.20
Kain Medrano,2574616,LB,WAS,3,2,,,,,1,,,,,,,,,,,244,6.70
Connor O'Toole,2574571,LB,SEA,3,2,,,,,1,,,,,,,,,,,245,6.70
