PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Dillon Gabriel,2574045,QB,CLE,937,7,2,86,,,,,,,,,19.26,14,,14,,,,,,,39,70.68
Davis Mills,2566136,QB,HOU,915,5,1,60,1,,,,,,1,1,16.59,13,,13,,,,,,,40,66.43
Carson Wentz,2555259,QB,MIN,1216,6,5,57,,,,,,,1,3,15.31,11,,11,,,,,,,41,66.07
Tyrod Taylor,2495240,QB,NYJ,779,5,5,143,1,,,,,,,1,13.19,27,,27,,,,,2,,42,59.46
Malik Willis,2567667,QB,GB,422,3,,123,2,,,,,,,2,11.05,22,,22,,,,,1,1,43,49.05
Jake Browning,2562634,QB,CIN,771,6,8,39,1,,,,,,,1,11.89,9,,9,,,,,1,,44,46.74
Russell Wilson,2532975,QB,NYG,831,3,3,106,,,,,,,,3,23.26,18,,18,,,,,2,,45,45.84
Jameis Winston,2552033,QB,NYG,567,2,2,23,1,1,33,1,,,,1,23.26,7,1,8,1,1,100,,,,46,42.78
Tyler Huntley,2563560,QB,BAL,426,2,,151,,,,,,,,,18.54,24,,24,,,,,,,47,40.14
Mitchell Trubisky,2558008,QB,BUF,313,4,,6,,,,,,,1,,18.92,9,,9,,,,,,,48,31.12
Riley Leonard,2574190,QB,IND,415,2,3,27,2,,-3,,,,,2,11.64,6,,6,,,,,,,49,29.00
Philip Rivers,2506121,QB,IND,544,4,3,-1,,,,,,,,2,11.64,2,,2,,,,,,,50,28.49
Quinn Ewers,2574321,QB,MIA,622,3,3,19,,1,-6,,,,,3,15.12,8,1,9,1,1,100,1,1,1,51,27.58
Brady Cook,2574435,QB,NYJ,739,2,7,49,,,,,,,1,3,13.19,13,,13,,,,,,,52,26.36
