PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Beaux Collins,2574418,WR,NYG,,,,,,2,25,,,,,,34.29,,2,2,2,6,33,,,,189,7.40
Charlie Jones,2569645,WR,CIN,,,,,,,,,1,,,,21.56,,,,,1,,,,,190,7.00
Simi Fehoko,2566004,WR,ARI,,,,,,,,,,,,,29.41,,,,,,,,,,191,6.90
Cedrick Wilson Jr.,2560936,WR,MIA,,,,,,5,44,,,,,,25.39,,5,5,5,9,56,,,,192,6.90
Braxton Berrios,2560975,WR,HOU,,,,,,6,37,,,,,,30.59,,6,6,6,8,75,,,,193,6.70
Gage Larvadain,2574054,WR,CLE,,,,3,,7,71,,,,,4,22.94,1,7,8,7,14,50,,,,194,5.90
Jake Bobo,2571378,WR,SEA,,,,,,2,20,,,,,,27.38,,2,2,2,2,100,,,,195,5.70
Dalen Cambre,2574416,WR,NYG,,,,,,,,,,,,,34.29,,,,,,,,,,196,5.70
Tom Kennedy,2563319,WR,DET,,,,,,4,36,,,,,,30.69,,4,4,4,4,100,,,,197,5.60
Xavier Restrepo,2574160,WR,TEN,,,,,,3,41,,,,,,27.18,,3,3,3,7,43,,,,198,5.60
Devin Duvernay,2563551,WR,CHI,,,,,,2,26,,,,,,31.33,,2,2,2,5,40,,,,199,5.10
Justin Watson,2560051,WR,HOU,,,,,,3,30,,,,,,30.59,,3,3,3,4,75,,,,200,5.10
Tay Martin,2569254,WR,FA,,,,,,2,23,,,,,,,,,,,,,,,,201,4.80
Deven Thompkins,2569314,WR,ATL,,,,5,,3,27,,,,,,23.73,1,3,4,3,3,100,,,,202,4.70
Malik Turner,2561671,WR,SF,,,,,,,,,,,,,23.54,,,,,1,,,,,203,4.50
Tahj Washington,2572258,WR,MIA,,,,,,3,37,,,,,1,25.39,,3,3,3,5,60,,,,204,3.80
Jonathan Mingo,2569597,WR,DAL,,,,,,1,25,,,,,,29.66,,1,1,1,5,20,,,,205,3.60
Jordan Watkins,2574550,WR,SF,,,,,,2,26,,,,,,23.54,,2,2,2,3,67,,,,206,3.60
Quentin Skinner,2574448,WR,NYJ,,,,,,1,10,,,,1,,23.03,,1,1,1,1,100,,,,207,3.50
Alex Bachman,2563301,WR,LV,,,,,,2,12,,,,,1,23.72,,2,2,2,3,67,,,,208,3.00
Jacoby Jones,2574610,WR,WAS,,,,,,1,25,,,,,,22.63,,1,1,1,1,100,,,,209,3.00
Jared Wayne,2571017,WR,HOU,,,,,,2,20,,,,,,30.59,,2,2,2,2,100,,,,210,3.00
Jalen Royals,2574254,WR,KC,,,,,,2,4,,,,,,28.99,,2,2,2,3,67,,,,211,2.90
Bryce Oliver,2573473,WR,TEN,,,,,,1,8,,,,,,27.18,,1,1,1,1,100,,,,212,2.80
Tim Jones,2565624,WR,JAX,,,,,,1,15,,,,,,29.74,,1,1,1,1,100,,,,213,2.60
Jakobie Keeney-James,2574113,WR,GB,,,,,,2,15,,,,,,21.43,,2,2,2,2,100,,,,214,2.50
David Moore,2558856,WR,CAR,,,,12,,1,5,,,,,,25.71,1,1,2,1,1,100,,,,215,2.20
Jason Brownlee,2570608,WR,KC,,,,,,,,,,,,,28.99,,,,,1,,,,,216,2.10
Andre Baccellia,2564250,WR,ARI,,,,,,2,8,,,,,,29.41,,2,2,2,4,50,,,,217,1.80
Justin Shorter,2569579,WR,LV,,,,,,,,,,,,,23.72,,,,,,,,,,218,1.80
Anthony Gould,2572120,WR,IND,,,,,,2,6,,,,,,21.85,,2,2,2,2,100,,,,219,1.60
Chris Blair,2565588,WR,ATL,,,,,,,,,,,,,23.73,,,,,,,,,,220,1.50
Dalevon Campbell,2574508,WR,LAC,,,,,,,,,,,,,21.91,,,,,,,,,,221,1.50
Derius Davis,2570272,WR,LAC,,,,5,,2,10,,,,,1,21.91,2,2,4,2,3,67,,,,222,1.50
Britain Covey,2568066,WR,PHI,,,,,,2,20,,,,,2,30.10,,2,2,2,4,50,,,,223,1.00
Samori Toure,2567628,WR,NO,,,,,,1,3,,,,,,29.20,,1,1,1,3,33,,,,224,0.80
Nikko Remigio,2570692,WR,KC,,,,11,,1,21,,,,,2,28.99,1,1,2,1,1,100,,,,225,0.70
Parris Campbell,2562495,WR,DAL,,,,,,,,,,,,,29.66,,,,,,,,,,226,0.60
Kaden Davis,2568732,WR,CLE,,,,,,,,,,,,,22.94,,,,,,,,,,227,0.60
Malik Cunningham,2571222,WR,DET,,,,1,,,,,,,,,30.69,1,,1,,,,,,,228,0.10
Ife Adeyi,2574628,WR,FA,,,,,,,,,,,,,,,,,,,,,,,229,0.00
