PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Eric Gregory,2574030,DL,NE,@NYJ,,1,,,,,,,,,,,,,,,,179,0.60
Daniel Hardy,2567832,DL,CHI,@SF,,1,,,,,,,,,,,,,,,,180,0.60
Derrick Harmon,2574493,DL,PIT,@CLE,,1,,,,,,,,,,,,,,,,181,0.60
Drake Jackson,2568213,DL,WAS,DAL,,1,,,,,,,,,,,,,,,,182,0.60
John Jenkins,2539231,DL,BAL,@GB,,1,,,,,,,,,,,,,,,,183,0.60
Austin Johnson,2556368,DL,JAX,@IND,,1,,,,,,,,,,,,,,,,184,0.60
Andre Jones Jr.,2570383,DL,BUF,PHI,,1,,,,,,,,,,,,,,,,185,0.60
Truman Jones,2570734,DL,TEN,NO,,1,,,,,,,,,,,,,,,,186,0.60
Larrell Murchison,2564055,DL,LAR,@ATL,,1,,,,,,,,,,,,,,,,187,0.60
Mike Pennel,2550242,DL,KC,DEN,,1,,,,,,,,,,,,,,,,188,0.60
Jeremiah Pharms Jr.,2569505,DL,NE,@NYJ,,1,,,,,,,,,,,,,,,,189,0.60
LaBryan Ray,2568441,DL,CAR,SEA,,1,,,,,,,,,,,,,,,,190,0.60
DJ Reader,2555388,DL,DET,@MIN,,1,,,,,,,,,,,,,,,,191,0.60
Dominique Robinson,2567421,DL,CHI,@SF,,1,,,,,,,,,,,,,,,,192,0.60
Chris Rumph II,2566508,DL,NO,@TEN,,1,,,,,,,,,,,,,,,,193,0.60
Dawuane Smoot,2557839,DL,JAX,@IND,,1,,,,,,,,,,,,,,,,194,0.60
Keion White,2570107,DL,SF,CHI,,1,,,,,,,,,,,,,,,,195,0.60
Byron Young,2570053,DL,PHI,@BUF,,1,,,,,,,,,,,,,,,,196,0.60
Christian Barmore,2566328,DL,NE,@NYJ,,,,,,,,,,,,,,,1,,,197,0.50
