PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Lukas Van Ness,2569792,DL,GB,@DEN,0.94,0.47,0.18,0.29,,0.06,,,,,,,,0.06,0.41,,,3.05,95,86,3.00,-0.05
CJ West,2574551,DL,SF,TEN,0.49,0.37,0.06,0.06,,,,,,,,,,0.06,0.18,,,1.41,142,87,3.00,1.59
Sam Williams,2567514,DL,DAL,MIN,,,,,,,,,,,,,,,,,,0.00,486,88,3.00,3.0
Poona Ford,2561195,DL,LAR,DET,1.6,0.93,0.2,0.4,,,,,,,,,,0.13,0.53,,,4.55,44,89,2.90,-1.65
Robert Beal Jr.,2570299,DL,SF,TEN,0.3,0.12,0.06,,,,,,,,,,,,,,,0.64,167,90,2.70,2.06
Mason Graham,2574046,DL,CLE,@CHI,1.38,1.01,0.05,0.27,,0.05,0.05,,,,,,,0.16,0.21,,,3.91,63,91,2.70,-1.21
Javon Hargrave,2555239,DL,MIN,@DAL,1.62,1.26,0.36,0.48,,,,,,,,,,0.12,0.84,,,5.35,28,92,2.70,-2.65
Shelby Harris,2549926,DL,CLE,@CHI,0.84,0.84,0.06,0.18,,,0.06,,,,,,,0.18,0.36,,,2.84,108,93,2.70,-0.14
Kris Jenkins,2571928,DL,CIN,BAL,1.08,1.44,0.21,0.3,,,,,,,,,,0.06,0.48,,,3.74,65,94,2.70,-1.04
Osa Odighizuwa,2566016,DL,DAL,MIN,1.53,1.18,0.35,0.41,,0.06,,,,,,,,0.06,1.29,,,5.32,29,95,2.70,-2.62
Sheldon Rankins,2555242,DL,HOU,ARI,1.09,0.9,0.1,0.26,,,0.06,,,,,,,,0.26,,,2.96,101,96,2.70,-0.26
Jack Sawyer,2574500,DL,PIT,MIA,0.53,0.41,,,,,,,,,,,,,,,,1.04,147,97,2.70,1.66
Jonah Williams,2564403,DL,NO,CAR,1.54,0.74,,,,,,,,,,,,0.17,,,,3.18,87,98,2.70,-0.48
Colby Wooden,2569783,DL,GB,@DEN,1.12,1,0.06,0.47,,,0.06,,,,,,,0.06,0.12,,,3.38,80,99,2.70,-0.68
Sebastian Joseph-Day,2561079,DL,TEN,@SF,1.13,1.07,0.14,0.17,,,,,,,,,,0.06,0.34,,,3.19,86,100,2.60,-0.59
Nathan Shepherd,2560873,DL,NO,CAR,0.59,0.29,0.12,0.12,,,0.06,,,,,,,0.12,0.18,,,1.93,130,101,2.60,0.67
Jalon Walker,2573920,DL,ATL,@TB,3.1,1.08,0.22,0.29,,0.07,0.07,,,,,,,0.22,1.08,,,7.58,5,102,2.60,-4.98
Micheal Clemons,2568024,DL,NYJ,@JAX,0.95,0.43,0.14,0.14,,0.05,,,,,,,,,0.33,,,2.51,114,103,2.50,-0.01
Maurice Hurst,2560748,DL,CLE,@CHI,,,,,,,,,,,,,,,,,,0.00,316,104,2.50,2.5
Ruke Orhorhoro,2571811,DL,ATL,@TB,0.96,0.9,0.09,0.18,,,,,,,,,,0.12,0.18,,,2.82,109,105,2.50,-0.32
Montez Sweat,2562749,DL,CHI,CLE,1.13,0.9,0.39,0.56,,0.11,,,,,,,,0.17,0.79,,,5.06,33,106,2.50,-2.56
Jordan Davis,2568069,DL,PHI,LV,1.5,1.75,0.25,0.31,,0.06,0.06,,,,,,,0.31,0.63,,,5.63,22,107,2.40,-3.23
PJ Mustipher,2570939,DL,ARI,@HOU,,,,,,,,,,,,,,,,,,0.00,379,108,2.40,2.4
Braden Fiske,2572195,DL,LAR,DET,1.26,1.32,0.38,0.5,,0.13,0.06,,,,,,,0.06,0.88,,,5.30,30,109,2.30,-3.0
Warren Brinson,2574126,DL,GB,@DEN,,,,,,,,,,,,,,,,,,0.00,213,110,2.10,2.1
Karl Brooks,2569753,DL,GB,@DEN,0.79,0.62,0.14,0.28,,0.06,0.11,,,,,,,0.11,0.34,,,3.02,97,111,2.10,-0.92
Jamaree Caldwell,2574507,DL,LAC,@KC,0.12,0.18,0.12,0.06,,,0.06,,,,,,,,,,,0.68,164,112,2.10,1.42
