PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Quinton Newsome,2573680,DB,FA,Bye,,,,,,,,,,,,,,,,,,,498,490,0.00,
Josh Newton,2571943,DB,CIN,BAL,1.69,0.45,,0.11,0.06,,,,,,,,,0.34,,1.24,,4.07,146,491,0.00,-4.07
Parry Nickerson,2560822,DB,PHI,LV,,,,,,,,,,,,,,,,,,0.00,499,492,0.00,0.0
Ben Nikkel,2573605,DB,IND,@SEA,,,,,,,,,,,,,,,,,,0.00,500,493,0.00,0.0
Morice Norris Jr.,2573139,DB,FA,Bye,,,,,,,,,,,,,,,,,,,501,494,0.00,
George Odum,2561131,DB,IND,@SEA,0.33,0.28,,,,,,,,,,,,,,,,0.66,238,495,0.00,-0.66
Michael Ojemudia,2563908,DB,FA,Bye,,,,,,,,,,,,,,,,,,,502,496,0.00,
Jeff Okudah,2563944,DB,MIN,@DAL,,,,,,,,,,,,,,,,,,0.00,503,497,0.00,0.0
Kitan Oladapo,2572051,DB,GB,@DEN,,,,,,,,,,,,,,,,,,0.00,504,498,0.00,0.0
Jordan Oladokun,2574523,DB,LAC,@KC,,,,,,,,,,,,,,,,,,0.00,505,499,0.00,0.0
Amani Oruwariye,2562390,DB,BAL,@CIN,,,,,,,,,,,,,,,,,,0.00,506,500,0.00,0.0
Gervarrius Owens,2570161,DB,CHI,CLE,,,,,,,,,,,,,,,,,,0.00,507,501,0.00,0.0
Jonathan Owens,2561255,DB,CHI,CLE,0.35,0.29,,,,,,,,,,,,,,,,0.70,233,502,0.00,-0.7
Tyler Owens,2573608,DB,WAS,@NYG,0.35,0.29,,,,,,,,,,,,,,,,0.70,234,503,0.00,-0.7
Wande Owens,2573967,DB,BUF,@NE,,,,,,,,,,,,,,,,,,0.00,508,504,0.00,0.0
Makari Paige,2574426,DB,FA,Bye,,,,,,,,,,,,,,,,,,,509,505,0.00,
Roman Parodie,2574593,DB,FA,Bye,,,,,,,,,,,,,,,,,,,510,506,0.00,
Rico Payton,2573394,DB,NYG,WAS,0.59,0.29,,,0.06,,,,,,,,,0.29,,,,1.99,198,507,0.00,-1.99
Jabrill Peppers,2557980,DB,PIT,MIA,1.65,0.9,0.05,0.1,0.05,,,,,,,,,0.15,0.1,0.75,,3.89,152,508,0.00,-3.89
Mark Perry,2573277,DB,GB,@DEN,,,,,,,,,,,,,,,,,,0.00,511,509,0.00,0.0
Clark Phillips III,2569546,DB,ATL,@TB,,,,,,,,,,,,,,,,,,0.00,512,510,0.00,0.0
Joshua Pickett,2574096,DB,FA,Bye,,,,,,,,,,,,,,,,,,,513,511,0.00,
James Pierre,2565003,DB,PIT,MIA,,,,,,,,,,,,,,,,,,0.00,514,512,0.00,0.0
Jordan Polk,2574380,DB,FA,Bye,,,,,,,,,,,,,,,,,,,515,513,0.00,
Daryl Porter,2573968,DB,BUF,@NE,,,,,,,,,,,,,,,,,,0.00,516,514,0.00,0.0
Mishael Powell,2574356,DB,FA,Bye,,,,,,,,,,,,,,,,,,,517,515,0.00,
Bobby Price,2563953,DB,FA,Bye,,,,,,,,,,,,,,,,,,,518,516,0.00,
Jayden Price,2572884,DB,NO,CAR,,,,,,,,,,,,,,,,,,0.00,519,517,0.00,0.0
Troy Pride,2563662,DB,IND,@SEA,,,,,,,,,,,,,,,,,,0.00,520,518,0.00,0.0
Deantre Prince,2572153,DB,FA,Bye,,,,,,,,,,,,,,,,,,,521,519,0.00,
Nehemiah Pritchett,2572534,DB,SEA,IND,0.88,0.26,,,,,,,,,,,,0.1,,,,1.73,207,520,0.00,-1.73
Myles Purchase,2574525,DB,NYG,WAS,,,,,,,,,,,,,,,,,,0.00,522,521,0.00,0.0
Ennis Rakestraw Jr.,2572018,DB,DET,@LAR,,,,,,,,,,,,,,,,,,0.00,523,522,0.00,0.0
Caleb Ransaw,2574229,DB,JAX,NYJ,,,,,,,,,,,,,,,,,,0.00,524,523,0.00,0.0
Taylor Rapp,2562707,DB,BUF,@NE,,,,,,,,,,,,,,,,,,0.00,525,524,0.00,0.0
Jaylen Reed,2574178,DB,HOU,ARI,,,,,,,,,,,,,,,,,,0.00,526,525,0.00,0.0
