PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Boye Mafe,2568258,LB,SEA,@CAR,1.63,0.84,0.39,0.51,,0.06,,,,,,,,0.23,0.79,,,5.67,87,70,6.10,0.43
Barrett Carter,2574025,LB,CIN,ARI,5.09,1.86,,0.21,,0.07,0.07,,,,,,,0.14,0.07,,,9.77,25,71,5.70,-4.07
Tommy Eichenberg,2572225,LB,LV,NYG,,,,,,,,,,,,,,,,,,0.00,235,72,5.70,5.7
Malik Harrison,2563554,LB,PIT,@CLE,1.54,1.09,0.06,0.11,,,,,,,,,,,0.11,,,3.30,122,73,5.70,2.4
Tavius Robinson,2569567,LB,BAL,@GB,3.27,1.27,0.27,0.33,,0.13,0.07,,,,,,,0.07,0.53,,,7.67,59,74,5.70,-1.97
Pete Werner,2566358,LB,NO,@TEN,2.6,1.67,,0.14,,,,,,,,,,0.05,,,,5.24,91,75,5.70,0.46
Payton Wilson,2572456,LB,PIT,@CLE,3.35,1.04,0.05,0.16,0.05,0.05,0.05,,,,,,,0.22,0.11,0.77,,7.02,67,76,5.70,-1.32
Jonah Elliss,2571991,LB,DEN,@KC,1.57,0.93,0.21,0.43,,,,,,,,,,0.14,0.36,,,4.51,102,77,5.60,1.09
Marte Mapu,2570104,LB,NE,@NYJ,0.35,0.29,,,,,,,,,,,,,,,,0.70,191,78,5.50,4.8
Von Miller,2495202,LB,WAS,DAL,1.31,0.38,0.47,0.5,,0.06,,,,,,,,0.06,0.69,,,4.59,99,79,5.50,0.91
Jerome Baker,2560966,LB,CLE,PIT,1.53,1.02,0.05,0.07,,0.04,,,,,,,,0.11,0.11,,,3.58,118,80,5.40,1.82
Jack Campbell,2569741,LB,DET,@MIN,4.23,3.3,0.16,0.31,0.06,0.06,,,,,,,,0.37,0.37,,,10.64,13,81,5.40,-5.24
K'Lavon Chaisson,2564166,LB,NE,@NYJ,1.09,0.47,,,,,,,,,,,,,,,,1.92,149,82,5.20,3.28
Kaden Elliss,2562901,LB,ATL,LAR,4.12,1.59,0.32,0.65,0.06,0.12,0.06,,,,,,,0.18,0.71,,,10.24,17,83,5.20,-5.04
Demario Davis,2533008,LB,NO,@TEN,3.59,3.23,0.06,0.24,,,,,,,,,,0.35,0.18,,,8.77,40,84,5.10,-3.67
Darius Muasau,2572339,LB,NYG,@LV,3.79,1.68,,0.35,,0.09,0.09,,,,,,,0.18,0.18,,,8.16,49,85,4.80,-3.36
Anfernee Jennings,2564613,LB,NE,@NYJ,1.71,0.94,0.21,0.35,,0.06,,,,,,,,,0.47,,,4.52,101,86,4.70,0.18
Samson Ebukam,2558830,LB,IND,JAX,1,0.59,0.24,0.18,,0.06,,,,,,,,0.06,0.59,,,3.26,123,87,4.60,1.34
Terrel Bernard,2567325,LB,BUF,PHI,3.54,2.63,0.11,0.32,0.11,,0.05,,,,,,,0.21,0.27,,,8.68,42,88,4.50,-4.18
Luke Gifford,2562942,LB,SF,CHI,2.97,1.73,,,0.07,,,,,,,,,0.21,0.07,,,6.30,81,89,4.50,-1.8
Del'Shawn Phillips,2563179,LB,LAC,HOU,0.53,0.35,,0.12,,,,,,,,,,0.06,,,,1.34,169,90,4.50,3.16
Willie Gay Jr.,2564280,LB,MIA,TB,1.35,0.88,0.06,0.12,0.06,0.06,0.12,,,,,,,0.12,0.18,,,3.78,117,91,4.20,0.42
Trenton Simpson,2569564,LB,BAL,@GB,4.1,2.22,0.17,0.34,,,0.17,,,,,,,0.34,0.34,,,9.52,29,92,4.20,-5.32
Alex Singleton,2553739,LB,DEN,@KC,5.22,3.97,0.07,0.28,,,0.07,,,,,,,0.21,0.21,,,11.47,7,93,4.20,-7.27
Khalid Kareem,2563734,LB,ATL,LAR,,,,,,,,,,,,,,,,,,0.00,286,94,4.10,4.1
Dondrea Tillman,2573875,LB,DEN,@KC,,,,,,,,,,,,,,,,,,0.00,371,95,4.10,4.1
Nik Bonitto,2567517,LB,DEN,@KC,3.34,1.44,0.85,0.92,0.07,0.13,0.07,,,,,,,0.39,1.44,2.16,,11.49,5,96,4.00,-7.49
Derrick Barnes,2566055,LB,DET,@MIN,2.17,1.89,0.11,0.17,,,,,,,,,,0.06,0.29,,,5.16,92,97,3.90,-1.26
Zaire Franklin,2561155,LB,IND,JAX,2.76,2.49,0.11,0.16,0.05,0.05,,,,,,,,0.21,0.21,0.21,,7.08,65,98,3.90,-3.18
Ernest Jones,2566229,LB,SEA,@CAR,4.6,4.01,,0.18,0.06,0.06,,,,,,,,0.24,0.18,0.83,,10.71,12,99,3.90,-6.81
Demetrius Knight Jr.,2574031,LB,CIN,ARI,4.74,3.85,,0.25,,0.06,,,,,,,,0.06,0.13,,,10.22,18,100,3.90,-6.32
Jordan Burch,2574476,LB,ARI,@CIN,0.94,0.71,0.15,0.18,,,,,,,,,,,0.12,,,2.47,137,101,3.70,1.23
Lavonte David,2532828,LB,TB,@MIA,4.06,2.51,0.24,0.36,,0.06,0.06,,,,,,,0.3,0.3,,,9.79,23,102,3.60,-6.19
